Vinesh Bhunjun,"Variational AutoEncoders for fragrant molecule data and Topic Modeling for tags/annotations","20190925-variational-autoencoders-for-fragrant-molecule-data.rst",0,0,0,0,1
Ankur Sinha,"Standards and Tools in Neuroscience: a report on the Open Source Brain Workshop 2019","20191001-standards-and-tools-in-neuroscience-a-report-on-the-open-source-brain-workshop-2019.rst",0,0,0,0,1
Reinoud Maex,"Re-uptake of potassium by neurons and glial cells","20191014-re-uptake-of-potassium-by-neurons-and-glial-cells.rst",2019-10-18,0,0,0,1
Ohki Katakura,"Neuronal modelling of cerebellar Purkinje cell","20191023-neuronal-modelling-of-cerebellar-purkinje-cell.rst",0,0,0,0,1
Shabnam Kadir,"Clique topology reveals intrinsic geometric structure in neural correlations","20191030-clique-topology-reveals-intrinsic-geometric-structure-in-neural-correlations.rst",0,0,0,0,1
Yaqoob Muhammad,"Towards Explainable Artificial Intelligence","20191106-towards-explainable-artificial-intelligence.rst",0,0,0,0,1
Deepak Panday,"Unsupervised Feature Selection for Large Data sets","20191113-unsupervised-feature-selection-for-large-data-sets.rst",0,0,0,0,1
Sam Sutton,"Efficient codes and balanced networks","20191121-efficient-codes-and-balanced-networks.rst",0,0,0,0,1
Ankur Sinha,"Growth rules for the repair of asynchronous irregular neuronal networks after peripheral lesions","20191125-growth-rules-for-the-repair-of-asynchronous-irregular-neuronal-networks-after-peripheral-lesions.rst",0,0,0,0,1
Mohammad Tayarani-Najaran,"What an Ehm Leaks About You: Mapping Fillers into Personality Traits with Quantum Evolutionary Feature Selection Algorithms","20191129-what-an-ehm-leaks-about-you-mapping-fillers-into-personality-traits-with-quantum-evolutionary-feature-selection-algorithms.rst",0,0,0,0,1
