Caroline McMillan,"Exploring Convergence in Wearable Computing Development","20250226-exploring-convergence-wearable-computing-development.rst",0,0,0,0,1
Shabnam Kadir,"Combinatorial threshold linear networks and how dynamics can be ascertained via graph motifs in the connectivity matrix.","20250312-combinatorial-threshold-linear-networks-and-how-dynamics-can-be-ascertained-via-graph-motifs-in-the-connectivity-matrix-.rst",2025-03-14,0,0,0,1
Shamim Ibne Shahid,"Detecting Anxiety via Machine Learning Algorithms: A Literature Review","20250325-detecting-anxiety-via-machine-learning-algorithms-a-literature-review.rst",2025-03-28,0,0,0,1
Xinge Tong,"Exploring the Use of Online Reviews in the Development of Video Game","20250408-exploring-the-use-of-online-reviews-in-the-development-of-video-game.rst",2025-04-11,0,0,0,1
Muhammad Yaqoob,"Understanding structure-function mapping in small spiking neural networks.","20250425-understanding-structure-function-mapping-in-small-spiking-neural-networks-.rst",2025-04-25,0,0,0,1
Manal Helal,"When the Robotic Maths Tutor is Wrong - Can Children Identify Mistakes Generated by ChatGPT?","20250512-when-the-robotic-maths-tutor-is-wrong-can-children-identify-mistakes-generated-by-chatgpt-.rst",2025-05-16,0,0,0,1
Maria Psarrou,"","",2025-05-30,0,0,0,1
Na Helian,"","",0,0,0,0,1
Eleonora Bernasconi,"","",0,0,0,0,1
Volker Steuber,"","",0,0,0,0,1
Paul Moggridge,"","",0,0,0,0,1
Pinaki Saha,"","",0,0,0,0,1
Olga Tveretina,"","",0,0,0,0,1
Agnes Bonivart,"","",0,0,0,0,1
Mahsa Aliakbarzadeh,"","",0,0,0,0,1
